词语,频数
合计,36
超过,3
重要,17
其他,180
应付,44
单位,92
项目,127
偿还,10
结转,10
原因,27
说明,126
持有,42
待售,10
负债,46
期初,20
余额,37
浙江,77
南都,118
电源,79
动力,67
股份,94
有限,142
公司,382
年度,88
报告,59
全文,51
到期,16
长期,13
借款,15
流动,39
运费,4
计提,22
售后,1
服务,8
水电,1
费用,32
销售,36
业务,12
短期,7
债券,42
增减,11
变动,53
面值,7
折价,2
名称,16
分类,18
包括,24
利率,58
区间,1
面向,4
合格,6
投资,37
公开,10
发行,50
以下,8
简称,9
划分,4
金融,69
优先,3
永续,3
工具,43
转换,1
转股,2
条件,8
时间,3
期末,38
在外,5
基本,2
情况,50
职工,6
薪酬,4
补助,87
收益,72
相关,66
政府,33
尚未,9
验收,5
家用,4
自给,4
光伏,7
储能,18
资产,93
研发,21
产业,11
年产,8
MWh,4
装备,4
KVAH,3
电池,29
组件,3
安装,5
性能,6
方案,6
基于,4
数据,5
能源,28
管理,34
平台,4
开发,21
CAP1400,3
超大,3
容量,3
铅酸,4
自主,6
研制,3
根据,24
工业,5
信息,16
关于,37
下达,22
电子,3
发展,16
基金,7
计划,12
通知,26
工信部,1
收到,32
财政,47
经济,10
委员,13
配套,7
资金,57
对应,7
递延,11
国家,11
改革,2
战略,3
新兴,3
中央,6
预算,1
科技,23
杭州,30
余杭,4
专项,23
拨付,2
工程,7
完工,3
锂电,1
及其,7
设备,11
使用,15
年限,6
进行,33
摊销,12
本年,4
金额,28
计入,30
成都,5
促进,5
四川,5
分别,3
本期,58
剩余,12
转型,4
升级,3
用于,24
实施,8
科学,1
技术,28
省级,2
中小,2
企业,90
扶持,24
重大,18
能量,3
其中,17
核电,1
课题,2
立项,1
经费,8
董事,21
十五,2
十六,1
二十,1
会议,14
股东,16
大会,5
审议,17
通过,13
中国,11
证券,11
监督,4
核准,12
购买,31
募集,5
批复,7
证监,7
许可,3
定向,4
增发,2
人民,17
普通,10
股票,55
每股,6
价格,18
再生,10
资源,7
股权,38
作价,1
认购,5
总额,14
股本,21
资本,24
公积,24
溢价,6
本次,8
增资,3
业经,3
天健,6
会计,20
事务,3
特殊,4
合伙,5
审验,3
出具,3
验资,3
临时,3
期权,39
激励,34
草案,3
议案,5
以及,6
决议,5
对象,20
行权,49
可行,9
数量,9
后因,1
分派,2
十八,2
同意,7
授予,19
部分,5
调整,19
十九,2
取消,2
资格,2
注销,5
获准,2
采用,13
模式,4
期限,13
十三,2
延期,2
截至,13
货币,6
缴纳,4
增加,9
新股,1
所致,1
另外,1
详见,12
财务,32
报表,10
附注,12
减少,8
收购,3
安徽,25
少数,6
成本,10
大于,1
按照,20
新增,3
持股,10
比例,23
计算,8
享有,2
开始,1
持续,4
辨认,7
份额,8
差额,4
权益,34
结算,9
支付,28
确认,17
综合,13
发生,84
所得,22
前期,9
税后,8
归属,13
以后,1
损益,11
现金,58
流量,21
套期,6
有效,6
转为,1
被套,1
初始,1
储备,1
盈余,2
分配,8
利润,17
所有,6
提取,1
法定,2
明细,2
由于,10
准则,2
规定,11
追溯,1
影响,20
税金,4
附加,5
上期,33
消费,9
城市,2
维护,2
建设,15
教育,2
房产,5
土地,4
车船,3
印花,3
地方,23
营业,3
增值,9
处理,6
财会,2
有关,25
问题,4
解读,2
之前,3
装卸,3
咨询,4
代理,3
差旅,3
办公,3
会务,2
广告,2
