词语,频数
其他,110
应收,14
期末,32
坏账,2
准备,15
单位,106
名称,4
性质,4
余额,29
合计,42
比例,24
中海,3
集团,42
租赁,48
有限,93
公司,130
平安,3
国际,10
融资,16
中远,3
海运,3
海尔,2
中国,4
保证,3
以内,2
远东,6
涉及,3
政府,9
补助,10
款项,11
广东,40
智能,49
股份,42
年度,36
报告,32
金融,31
资产,102
转移,7
终止,3
确认,13
存在,3
继续,6
形成,11
负债,26
金额,38
情况,31
存货,7
是否,1
需要,1
遵守,1
地产,14
行业,3
披露,2
要求,1
分类,9
产品,13
库存,4
商品,4
周转,2
材料,12
消耗,5
生物,17
建造,4
合同,29
完工,4
结算,4
委托,1
加工,11
物资,3
低值,2
发出,2
跌价,3
本期,34
增加,52
含有,1
借款,13
费用,28
资本,15
说明,40
年末,9
年初,9
原因,30
主要,15
数控,5
机床,5
高端,2
装备,3
销售,7
大幅,2
增长,8
验收,1
周期,1
授信,2
持有,14
待售,2
到期,21
流动,15
项目,109
银行,4
理财,2
出售,19
账面,8
价值,34
债务,5
工具,18
权益,11
公允,27
计量,27
成本,14
减值,27
投资,45
持股,1
红利,2
减少,15
艾普,2
科技,21
武汉,2
变动,34
严重,1
下跌,2
暂时,3
计提,8
相关,18
重要,7
长期,15
股权,14
增减,10
追加,1
综合,8
宣告,1
发放,1
现金,23
损益,16
合营,2
企业,20
联营,5
深圳,14
精密,15
自动,13
东莞,19
超胜,2
电子,9
华清,10
光学,10
为本,3
全资,4
世纪,9
机械,5
取得,3
截止,2
日本,2
处置,10
转为,2
采用,10
模式,9
适用,22
固定,10
办公,9
设备,18
转出,3
累计,3
折旧,1
闲置,1
通过,5
经营,11
办妥,12
产权,12
证书,12
房屋,10
建筑,10
正在,1
办理,1
根据,8
关于,3
宝安,3
重点,1
人才,4
住房,4
配售,1
有关,11
事项,2
通知,3
住宅,1
共计,1
用于,1
安排,1
引进,1
住宿,1
问题,1
文件,1
规定,5
购买,2
不得,1
转让,1
对外,1
出租,1
抵押,1
在建,9
工程,21
安装,3
消费,3
结构,13
技改,1
扩建,2
厂房,2
建设,5
生产,19
利息,12
其中,6
转入,5
资金,4
投入,2
来源,4
自有,1
清理,1
无形,8
摊销,3
内部,2
研发,10
土地,3
使用,6
移动,3
终端,4
金属,9
制造,5
开发,76
支出,9
液态,5
应用,25
工业,1
3D,11
打印,2
耗材,1
研究,3
暂定,1
性能,1
纤维,1
复合,2
阳极,4
合金,12
成型,10
工艺,21
支持,1
数字,2
车间,2
信息,7
技术,14
基于,10
喷射,1
粘结,1
3DP,1
模具,3
冷却,1
水路,1
3C,6
装配,1
压铸,11
挤压,1
表面,2
触控,1
涂层,1
国产,1
玻璃,14
强化,2
催化,2
PVD,1
曲面,5
装饰,2
激光,2
一体,2
天线,1
联动,1
关键,3
诊断,1
维护,3
系统,7
数据,2
塑胶,1
电池,1
贴合,2
硬度,1
柔性,1
薄膜,1
手机,4
不锈,1
节能,1
环保,2
汽车,2
油泵,1
国家,1
处理,1
MIM,3
喂料,3
国内,1
替代,1
原料,1
异型,1
陶瓷,7
低温,2
及其,4
手表,2
外壳,1
线路,1
集成,1
无线,1
充电,1
功能,1
注射,1
整体,1
硬质,1
刀具,1
氧化锆,2
后盖,1
医用,1
义齿,1
面向,1
粉末,2
冶金,2
示范,1
脱脂,1
新型,6
优化,1
定位,1
整形,1
卡托,1
强度,2
提高,1
快速,1
分离,1
H171,1
氧化铝,1
上下,1
推广,1
健康,1
状态,1
管理,6
算法,1
