词语,频数
汇率,8
变动,121
现金,112
等价,7
影响,32
增加,7
期末,54
余额,89
公司,323
流量,41
单位,156
项目,102
上期,6
发生,224
浙江,73
南都,101
电源,70
动力,64
股份,86
有限,114
年度,58
报告,62
全文,51
经营,57
活动,14
产生,57
流入,21
小计,5
支付,76
职工,70
以及,36
流出,2
净额,43
投资,275
处置,51
固定,20
资产,517
无形,9
其他,277
长期,101
收回,31
购建,12
筹资,3
分配,7
股利,59
利润,8
偿付,6
利息,91
合并,79
所有,88
权益,168
本期,46
金额,165
归属,3
上年,4
..,3
本年,4
期初,41
增减,9
减少,7
填列,4
综合,59
收益,131
投入,13
资本,49
股东,10
工具,151
持有,47
计入,212
准备,59
提取,4
盈余,3
公积,7
一般,2
风险,43
合计,44
变更,8
专项,1
储备,1
基本,1
情况,57
以下,13
简称,2
人民,3
政府,13
企业,60
上市,5
工作,1
领导,1
小组,1
关于,8
同意,2
设立,2
批复,1
批准,2
工业,5
整体,12
工商,1
行政,1
管理,13
登记,2
注册,3
总部,1
位于,1
杭州,8
统一,1
社会,1
信用,22
代码,1
营业,11
执照,1
总数,1
每股,1
面值,1
其中,3
条件,41
流通,2
无限,1
股票,1
深圳,4
证券,12
交易,89
挂牌,1
电气,1
机械,1
器械,1
制造,1
范围,4
性能,3
密封,7
电池,21
研究,5
开发,5
生产,24
销售,15
燃料,1
离子,4
镍氢,1
太阳,2
储能,12
环保,1
电极,1
材料,8
系统,7
配件,2
后备,1
电力,2
集成,1
进出口,1
业务,11
设备,14
通信,1
安装,3
服务,25
租赁,6
主要,4
产品,16
再生,7
财务,85
报表,41
业经,1
二十九,5
董事,3
对外,2
科技,14
界首,6
华宇,6
安徽,11
资源,7
长兴,5
四川,2
能源,14
贸易,1
餐饮,1
武汉,1
镇江,1
互联,3
运营,2
亚太,2
菲律宾,2
马来西亚,2
欧洲,2
英国,2
中东,2
无锡,1
合伙,2
印度,2
责任,27
国际,2
控股,2
卢森堡,2
Narada,6
Germany,2
GmbH,4
Management,2
Australia,2
Pty,2
Ltd,2
家子,1
纳入,1
详见,2
附注,1
主体,2
说明,66
持续,16
存在,8
导致,3
假设,3
重大,69
疑虑,3
事项,17
重要,25
会计,112
政策,49
估计,30
是否,40
需要,9
遵守,12
特殊,6
行业,13
披露,24
要求,14
具体,5
提示,2
根据,32
实际,67
特点,2
针对,1
应收,78
款项,37
坏账,28
计提,46
折旧,4
摊销,46
收入,97
确认,336
制定,21
遵循,1
准则,21
声明,1
编制,2
符合,15
真实,1
完整,1
反映,4
状况,3
成果,3
有关,59
信息,7
期间,50
公历,3
周期,6
作为,34
负债,251
流动,9
划分,13
标准,7
同一,18
控制,125
处理,88
方法,83
取得,46
按照,157
最终,10
账面,91
价值,250
计量,197
购买,12
成本,267
大于,10
方可,6
辨认,7
公允,173
份额,15
差额,82
商誉,12
合营,3
安排,4
分类,20
共同,29
适用,46
确定,86
库存,4
可以,19
随时,1
用于,2
存款,3
外币,18
折算,31
初始,43
采用,49
即期,6
上述,11
金融,353
当期,111
损益,123
包括,41
指定,20
到期,39
贷款,21
出售,85
依据,53
终止,99
成为,4
合同,38
进行,119
后续,21
扣除,24
将来,9
可能,39
费用,62
下列,40
除外,9
利率,41
活跃,17
市场,41
没有,27
报价,12
不能,19
可靠,63
挂钩,12
通过,36
交付,12
结算,24
衍生,22
结清,5
属于,11
担保,6
低于,25
承诺,5
之中,5
较高,6
原则,7
累积,5
形成,36
利得,13
损失,80
套期,36
保值,4
如下,5
收到,26
入账,7
之间,38
同时,27
调整,13
计算,44
宣告,17
发放,17
直接,43
累计,31
之后,10
收取,10
权利,9
几乎,19
报酬,20
转移,77
现时,11
义务,11
全部,15
部分,63
解除,11
相应,26
转入,7
保留,12
分别,5
放弃,11
继续,27
程度,6
满足,33
对价,20
各自,6
相对,6
分摊,6
对应,8
当前,1
并且,10
足够,1
利用,5
数据,1
支持,1
估值,1
技术,26
相关,111
减值,183
测试,45
以外,4
检查,8
客观,19
证据,11
表明,27
对于,17
单项,27
区分,5
开来,4
单独,26
具有,15
类似,20
特征,18
组合,23
结果,27
高于,12
预计,40
未来,20
现值,18
债务,54
严重,8
困难,14
违反,5
条款,5
本金,5
违约,5
逾期,27
出于,5
经济,39
法律,17
方面,5
因素,11
考虑,19
作出,5
让步,5
倒闭,5
重组,5
无法,9
已经,80
暂时,6
下跌,4
环境,12
不利,12
变化,12
各项,15
超过,43
时间,46
尚未,9
达到,5
诸如,5
价格,6
波动,5
判断,24
下降,7
予以,22
转出,9
回升,16
转回,18
当时,7
折现,7
一经,7
不予,7
以上,13
名称,6
比例,16
以内,4
下同,1
理由,1
显著,1
差异,1
存货,58
日常,3
成品,2
商品,14
处在,1
过程,12
提供,46
劳务,131
耗用,1
物料,1
发出,8
计价,6
月末,4
加权,4
平均,5
变现,18
净值,18
单个,5
跌价,10
盘存,21
制度,15
永续,8
低值,12
包装,12
转销,15
待售,2
股权,27
约定,16
共有,1
必须,2
经过,1
分享,1
参与,20
一致,1
才能,1
决策,20
认定,25
权力,19
能够,98
或者,29
一起,19
这些,19
转让,9
承担,31
发行,8
多次,13
分步,13
实现,3
个别,9
加上,1
新增,2
核算,20
实施,25
丧失,17
价款,7
规定,55
一揽子,5
地产,8
模式,4
出租,1
使用,63
年限,14
有形,1
利益,19
专用,7
运输,1
电站,7
月份,1
融资,4
