词语,频数
董事,708
助理,4
场部,1
经理,141
广东,3
区域,5
杭州,64
华星,88
创业,80
通信,60
技术,100
股份,190
有限,94
公司,1951
年度,200
报告,1408
全文,147
独立,656
国有,3
小小,3
合计,18
监事,418
高级,125
管理,213
人员,143
变动,589
情况,817
适用,337
原因,3
身体,1
辞职,1
任期,214
离任,213
届满,2
个人,1
离职,1
任职,100
现任,3
专业,308
背景,189
主要,9
工作,491
经历,1
以及,218
目前,2
职责,106
女士,5
出生,12
浙江,26
大学,7
信息,552
工程,94
学院,2
学士,1
加拿大,1
魁北克,1
项目,216
硕士,56
学位,1
历任,7
电器,1
摩托罗拉,1
设备,4
上海,9
易美,1
实业,3
产品,6
计划,367
总监,6
UT,2
斯达康,2
通讯,3
执行,567
至今,26
先生,16
本科,8
学历,8
东方,4
蜂窝,1
系统,7
交换,3
组长,2
东信,3
网络,20
市场,138
鸿宇,6
数字,6
电工,1
研发,3
现场,2
CDMA,1
支持,12
中心,4
主管,5
全球,1
服务,18
事业,1
客户,135
注册,65
会计,489
华东,2
医药,1
集团,166
财务,1399
科技,15
加盟,2
负责,197
秘书,4
金桥,3
经济,204
生意,3
副总,2
汉鼎,2
太子龙,2
服饰,2
万安,2
文化,1
开始,2
众望,2
布艺,2
工商,3
教授,1
博士,1
导师,1
美国,2
科罗拉多,2
访问,2
学者,2
教育,89
省属,2
高校,2
人文,2
社会,6
科学,3
重点,1
研究,8
基地,2
现代,2
商贸,2
国际,5
贸易,2
所长,2
金融,1534
学会,2
理事,1
氨纶,2
咨询,1
光明,3
大专,3
行政,2
主席,2
建新,2
电声,1
开发,1
航天,1
控股,17
办事,2
主任,4
代表,10
高管,3
简历,3
部分,147
优化,4
中控,1
电气,1
紫光,1
启迪,1
企业,250
兼职,3
网讯,5
华创,6
信通,6
其他,2488
单位,373
名称,5
担任,2
起始,1
终止,275
日期,109
是否,423
领取,3
报酬,42
津贴,1
互联,9
港湾,9
前海,1
委派,7
电信,2
融资,1
担保,8
宁波,1
大宗,1
商品,1
交易,145
化纤,1
电子,1
商务,1
消费,1
帝龙,1
上述,11
说明,99
证券,9
监管,2
机构,153
处罚,1
披露,145
关于,18
收到,571
证监,157
采取,3
责令,2
改正,2
措施,139
决定,3
公告,11
出具,28
决策,198
程序,38
确定,249
依据,204
实际,202
支付,156
建立,7
完善,9
绩效,6
考评,10
体系,4
薪酬,13
制度,16
根据,65
目标,30
完成,6
岗位,1
提名,7
考核,9
委员,21
能力,12
履职,4
责任,359
进行,510
年终,1
结果,9
调整,40
发放,57
奖金,1
业绩,3
核发,1
共计,1
姓名,7
状态,92
获得,2
税前,6
总额,134
获取,43
职工,69
授予,92
股权,93
激励,98
员工,271
数量,224
构成,306
程度,95
在职,90
当期,285
人数,5
承担,184
费用,99
离退休,1
类别,144
以上,51
以下,38
政策,247
具有,46
结合,149
薪资,2
提升,8
参照,1
行业,3
水平,3
内部,733
晋升,2
发展,10
需要,3
都会,1
不等,1
幅度,1
调薪,1
不同,36
满意,1
极大,1
积极,6
提高,3
效率,2
创造,1
更多,1
利润,388
培训,13
采用,149
内训,1
模式,1
综合,872
素质,1
技能,4
针对,7
阶段,3
开展,8
考试,1
畅通,1
通道,1
存在,765
劳务,4
外包,1
较大,1
治理,778
基本,2
状况,173
严格,8
按照,373
上市,165
准则,278
深圳,6
股票,14
规则,4
规范,166
运作,10
指引,3
法律,27
法规,11
要求,162
不断,2
法人,3
结构,4
健全,1
控制,592
持续,68
深入,2
活动,452
促进,2
整体,230
符合,51
股东,705
大会,372
章程,10
议事,3
规定,60
召集,1
召开,119
表决,3
切实,1
保证,28
中小,1
权益,815
平等,2
对待,1
所有,746
投资,755
他们,1
能够,18
充分,19
行使,4
自己,3
权利,13
聘请,2
律师,1
列席,1
意见,631
尊重,4
维护,27
全体,3
合法,6
参加,2
部门,7
加强,4
有关,589
行为,2
学习,1
出现,2
超越,1
直接,98
间接,12
干预,5
经营,462
拥有,8
完整,25
业务,106
自主,5
资产,1947
选聘,2
确保,2
公开,3
公平,2
公正,3
各位,2
出席,6
勤勉,1
尽责,1
履行,104
义务,24
同时,23
相关,431
熟悉,1
下设,2
专门,31
其责,1
组成,1
其中,90
人士,1
中国,200
指导,165
认真,3
重要,37
事项,1065
监督,391
评价,343
约束,3
逐步,1
透明,2
标准,34
机制,3
聘任,1
收入,177
挂钩,16
任务,1
利益,14
合作,3
各方,6
沟通,479
交流,3
实现,22
协调,3
平衡,3
共同,32
推动,3
健康,3
透明度,1
真实,17
准确,2
及时,1
指定,23
时报,1
网站,2
报纸,1
机会,1
发布,153
文件,156
重大,1254
差异,153
相对,8
方面,7
相互,2
资质,1
面向,1
依法,2
以外,30
任何,3
方式,3
核算,2
之间,24
同业,267
竞争,1
依赖,1
其它,2
关联,8
选举,4
产生,208
聘用,1
劳动,1
人事,2
工资,1
完全,1
没有,33
及其,22
职务,1
已经,7
作出,215
任免,1
情形,6
现有,2
产权,1
明晰,1
专利,1
商标,1
房产,1
所属,1
占用,1
资金,134
设立,4
形成,239
有效,46
依照,1
职权,1
设置,1
适合,1
自身,12
组织,1
明确,1
职能,1
混合,1
配备,1
专职,1
开设,1
银行,135
账户,2
共用,1
纳税,1
不在,1
临时,127
会议,117
索引,12
参与,1
比例,4
巨潮,23
资讯,23
编号,5
决议,5
恢复,3
优先,193
请求,1
连续,1
委托,1
缺席,1
次数,1
提出,131
异议,256
建议,98
采纳,98
关注,171
日常,1
许多,1
宝贵,2
发生,482
审计,2222
对外,2
发表,217
生产,4
发挥,1
应有,1
作用,1
战略,8
细则,4
通过,15
国内外,1
形势,1
特点,1
现状,1
前景,1
风险,234
机遇,1
分析,3
实施,18
规划,1
稳健,1
提供,143
层面,2
发行,165
现金,1368
购买,114
换届,3
合理,366
指标,2
并且,10
寻找,1
合适,2
审议,1
编制,98
定期,1
运行,2
发现,361
改进,1
制定,1
方案,1
审批,1
缺陷,274
具体,97
内控,107
自我,107
http,1
www,1
cninfo,1
com,1
cn,1
纳入,4
范围,175
合并,438
报表,1323
营业,474
认定,3
下列,40
影响,327
分别,7
违反,10
国家,2
定为,1
一般,124
环境,15
导致,256
失误,2
缺乏,2
外部,1
失效,2
媒体,2
频频,2
曝光,2
负面,2
定性,1
大错,1
过程,453
未能,2
新闻,2
难以,2
声誉,2
安全,2
造成,2
伤亡,2
无效,1
特别,1
事故,2
得到,1
整改,1
可能,533
使用,237
正确,1
判断,219
基数,1
定量,3
如下,6
鉴证,1
债券,145
批准,2
到期,363
全额,1
兑付,1
十一,1
天健,25
事务,23
特殊,24
普通,23
合伙,55
文号,16
安吉,2
正文,1
我们,2193
简称,4
包括,335
负债,733
流量,323
附注,5
认为,352
公允,803
反映,37
成果,17
基础,103
职业,493
道德,138
守则,1
关键,66
本期,48
最为,29
这些,389
应对,203
以对,189
单独,446
商誉,17
减值,385
截至,1
账面,96
原值,1
相应,22
准备,89
余额,164
十九,1
无论,1
迹象,1
每年,1
与其,1
或者,147
组合,45
测试,110
包含,27
估计,19
未来,28
流入,195
折现,9
计算,18
现值,18
低于,30
价值,885
确认,367
损失,234
由于,246
评估,17
因此,2
方法,42
适当,15
数据,34
利用,11
估值,22
专家,2
假设,25
了解,160
验证,35
模型,1
类型,2
建设,3
属于,7
二十三,1
完工,3
百分比,3
启动,1
当月,1
验收,1
期间,71
周期,27
月末,1
总量,1
涉及,1
作为,27
预计,8
成本,181
取得,140
清单,2
检查,11
大额,1
合同,99
结算,15
收款,1
利率,65
复核,67
重新,194
异常,1
函证,1
涵盖,26
阅读,144
考虑,160
一致,144
似乎,144
基于,167
如果,386
应当,167
事实,167
设计,46
必要,19
舞弊,244
错误,244
运用,164
除非,1
清算,1
运营,1
现实,1
选择,1
预期,186
汇总,186
起来,186
通常,186
保持,163
怀疑,163
识别,183
证据,29
恰当,44
目的,14
并非,14
选用,15
得出,16
结论,16
疑虑,9
然而,1
不能,134
总体,1
内容,1
实体,1
全部,176
时间,181
安排,174
值得,170
遵守,137
声明,150
关系,136
防范,136
二〇一八,1
二十二,1
人民,24
期初,147
流动,188
计量,718
计入,666
损益,1064
应收,110
利息,233
持有,697
待售,149
贷款,65
垫款,42
出售,574
物资,78
固定,84
清理,80
总计,4
应付,166
专项,285
归属,189
法定,2
陈家,2
上期,280
提取,95
保险,142
净额,812
收益,1017
填列,584
联营,2
合营,11
处置,314
亏损,380
少数,368
税后,236
以后,107
分类,272
设定,193
受益,193
有的,29
份额,197
享有,57
套期,113
外币,257
折算,277
差额,346
每股,3
存款,140
存放,266
款项,288
增加,451
小计,200
中央,133
流出,6
无形,4
长期,4
收回,7
购建,31
筹资,196
吸收,84
分配,236
股利,45
偿付,8
汇率,160
等价,34
期末,18
金额,204
资本,1079
盈余,612
股本,645
永续,94
上年,4
前期,226
更正,221
同一,135
本年,4
增减,4
减少,39
投入,154
工具,199
公积,869
结转,196
转增,340
弥补,227
储备,100
库存,113
变更,3
成立,1
