词语,频数
采用,13
权益,50
核算,12
投资,125
取得,25
长期,48
股权,35
按照,56
享有,14
分担,6
单位,113
实现,9
损益,48
其他,146
综合,18
收益,55
份额,3
分别,3
确认,93
同时,11
调整,30
账面,44
价值,67
宣告,3
分派,2
利润,22
现金,13
股利,2
计算,14
部分,36
相应,12
减少,3
对于,12
分配,10
以外,3
所有,20
变动,30
计入,57
辨认,1
资产,186
公允,29
基础,10
进行,33
会计,52
政策,26
期间,35
一致,3
财务,15
报表,12
发生,51
亏损,8
以及,10
实质,3
构成,3
为限,2
负有,3
承担,6
额外,2
损失,26
义务,53
除外,3
以后,12
分享,8
弥补,2
恢复,4
联营,11
企业,67
合营,9
之间,8
内部,9
交易,19
比例,11
归属,10
予以,6
抵销,7
准则,14
减值,42
有关,13
规定,22
属于,6
全额,3
其中,5
通过,4
风险,7
机构,2
共同,11
基金,5
信托,2
公司,169
包括,13
投连险,2
在内,2
类似,2
主体,8
间接,5
持有,22
无论,3
以上,9
是否,10
具有,9
重大,16
影响,14
金融,14
工具,18
选择,2
计量,31
其余,2
描述,1
了解,1
相关,106
模板,1
相符,1
追加,1
原因,12
能够,16
施加,5
实施,9
控制,22
处理,34
确定,26
加上,1
新增,1
成本,50
作为,5
初始,4
处置,23
丧失,8
剩余,12
附注,8
差额,7
当期,44
编制,6
个别,2
视同,4
不能,4
合并,6
方法,17
内容,2
全部,6
分类,17
待售,13
减去,8
费用,55
金额,54
低于,4
划分,4
不再,4
符合,8
条件,21
追溯,3
上海,51
安诺,56
集团,43
股份,56
有限,65
年度,54
报告,50
全文,42
实际,22
价款,2
固定,20
生产,6
商品,60
提供,28
劳务,3
出租,2
经营,5
管理,60
使用,36
寿命,11
超过,11
有形,2
满足,6
下列,14
才能,2
经济,7
利益,6
可能,5
流入,2
可靠,5
机器,1
设备,3
遵守,4
深圳,3
证券,3
行业,7
信息,17
披露,26
指引,3
上市,3
从事,3
化工,11
业务,20
要求,4
在建,9
工程,20
建筑,1
达到,16
预定,13
状态,14
必要,2
支出,38
之前,2
资本,30
借款,39
直接,8
需要,4
经过,1
相当,1
时间,5
购建,14
活动,17
已经,3
开始,7
停止,4
其后,3
如果,5
正常,3
中断,6
并且,3
连续,3
暂停,4
直至,3
重新,11
专门,8
或者,5
借入,2
款项,25
利息,18
尚未,10
动用,2
资金,11
存入,2
银行,8
收入,25
暂时,6
应予,4
一般,14
根据,25
累计,12
加权,2
平均,5
乘以,3
占用,2
存在,14
折价,2
溢价,4
利率,4
摊销,11
每期,1
无形,27
计价,1
测试,6
土地,6
专利,2
专有,1
技术,11
软件,1
年限,2
预计,11
每年,3
复核,2
适当,2
研究,8
开发,29
项目,78
性质,5
研发,3
最终,2
形成,5
较大,2
分为,3
阶段,13
完成,8
出售,7
可行,15
意图,1
证明,2
如何,2
产生,28
前期,8
不在,4
负债,95
上列,6
转为,7
收回,9
单独,3
商誉,10
迹象,5
至少,1
