词语,频数
归属,13
上市,21
公司,539
股东,82
利润,56
扣除,9
损益,13
经营,26
活动,17
产生,11
现金,33
流量,9
净额,9
基本,7
每股,10
收益,15
稀释,3
加权,2
平均,5
资产,37
季度,2
主要,56
财务,10
指标,5
单位,11
上述,19
总数,4
是否,31
披露,22
报告,101
相关,31
存在,10
重大,15
差异,3
说明,25
流动,2
处置,3
包括,21
计提,1
准备,3
冲销,1
部分,20
计入,2
当期,1
政府,11
补助,7
企业,60
业务,35
密切,2
按照,7
国家,29
统一,1
标准,19
定额,1
定量,1
概要,2
从事,9
需要,7
遵守,5
特殊,7
行业,53
要求,16
工业,34
制动,137
及其,10
控制,46
系统,45
研发,56
设计,12
制造,24
销售,21
多年,6
一直,4
领先,10
具备,11
自主,11
创新,24
能力,41
专业,4
生产,46
解决,5
方案,9
提供,15
我国,7
现有,6
一起,2
其中,15
国内,18
首家,1
实现,37
摩擦,28
材料,31
配方,2
根据,31
客户,39
主机,8
应用,19
环境,9
工况,4
调整,21
原料,1
通过,53
成型,1
工艺,6
相应,4
系数,1
强度,1
以及,8
高温,1
衬垫,2
全资,11
科技,74
航空,45
发动,21
装置,8
服务,46
技术,64
装备,16
开发,22
部件,27
加工,4
大型,6
军工,22
配套,28
上海,15
轨道,52
交通,54
作为,14
本部,2
打造,7
产业,46
基地,2
重要,7
组成,1
领域,31
进入,6
国外,4
市场,116
份额,14
优势,17
但是,2
过往,2
二十,1
业绩,17
成长,4
来自,2
中高,3
产品,97
进口,7
替代,8
因此,7
相信,1
不断,15
努力,9
足够,2
经验,1
打破,1
格局,3
拓展,10
有轨,10
电车,11
细分,5
已经,24
拥有,11
线路,4
交付,5
地铁,30
逐渐,4
突破,3
最终,4
良性,1
增长,27
金贸,12
流体,14
水暖,3
管件,2
运用,4
民用,1
水利,1
管网,1
建设,38
用途,3
具体,13
各种,4
通用,1
盘式,5
专用,1
风电,54
矿用,1
工程,11
机械,13
适合,1
不同,4
各类,8
金属,3
有机,3
复合,8
粉末,6
冶金,15
陶瓷,2
防风,3
驱动,5
电力,2
液压,10
推动,8
推杆,1
油缸,1
集成,3
智能,12
传动,1
矿山,5
港口,9
码头,7
模式,9
品牌,9
自己,1
组建,4
渠道,3
分为,2
部份,1
核心,11
环节,3
采用,9
成品,1
组装,4
流水,1
减少,8
成本,10
提高,24
效率,5
组件,1
方式,21
对外,6
采购,15
经过,3
积淀,1
培养,2
大量,2
熟练,1
人员,17
每个,1
作业,1
流程,3
水平,16
始终,5
保持,6
同时,13
改进,9
传统,11
设备,16
引进,2
先进,4
保证,16
此外,5
严格,5
ISO9000,1
质量,28
体系,8
优秀,4
部门,11
订单,11
指令,1
制定,4
计划,43
标的,3
方面,12
前期,4
核查,1
确认,3
价格,14
负责,1
审查,1
审核,1
到货,1
质检,1
进行,23
检验,6
合格,3
仓库,1
办理,2
入库,1
厂商,3
车辆,3
深入,1
了解,1
发展,57
趋势,9
用户,3
需求,14
建立,8
稳定,6
合作,9
关系,18
项目,103
过程,14
支持,7
从而,4
形成,6
持续,8
针对,4
已有,3
跟踪,3
全面,3
运维,1
变化,13
因素,5
回暖,2
影响,21
旺盛,1
逐步,5
增加,19
主营,7
收入,19
大力,5
军民,11
融合,11
利好,2
快速,11
盈利,11
稳步,4
提升,30
增强,8
整体,10
本期,9
转让,11
持有,11
武汉,7
有限,73
股权,32
增资,1
江苏,11
环宇,17
园林,20
投资,72
深圳,10
北京,4
中证,3
基金,5
合伙,9
期初,4
增幅,3
新增,10
在建,2
机床,1
尚未,5
完工,1
竞争,18
分析,4
突出,1
高新,3
处于,2
江西,26
研究,4
中心,3
省级,2
教授,3
高级,8
兼职,1
众多,2
首席,1
专家,3
春华,1
先生,9
知名,3
学术,1
带头,1
享受,1
国务院,2
津贴,1
目前,18
各项,8
专利,19
发明,6
实用,8
新型,14
外观,2
另外,2
申报,7
成果,7
显著,6
近年,2
完成,32
系列,5
称号,1
达到,19
国际,5
起草,1
正在,5
实施,14
JB,2
T7020,1
GB,1
T30221,1
能效,1
测试,3
方法,2
T7019,1
丰硕,1
截至,10
研制,11
承担,7
重点,19
获得,6
进步,7
地位,8
取得,11
认证,6
ISO9001,1
ISO14001,1
管理,55
欧盟,1
CE,1
北美,1
UL,1
中国,9
船级,3
CCS,1
证书,3
德国,1
GL,1
型式,1
美国,3
ABS,1
优质,5
资源,12
较高,1
占有,2
重型,9
供应,11
首位,1
振华,12
重工,11
集团,14
钢铁,2
太原,1
大连,1
起重,6
业内,1
出口,1
全球,4
地区,8
募集,42
资金,82
得到,7
高度,3
认可,5
稳居,1
前列,1
涵盖,2
金风,8
股份,59
广东,3
电气,4
远景,3
能源,8
华创,1
风能,2
等等,1
并购,4
深耕,1
型号,3
长期,4
牢固,2
良好,7
口碑,2
品质,6
成立,5
以来,5
专注,2
坚持,6
贯彻,1
生命,2
原则,2
理念,5
缺陷,1
目标,7
精细,1
准则,5
精益,1
化为,1
手段,2
推行,1
6S,1
现场,2
完备,2
凭借,1
