词语,频数
青岛,65
特锐,64
电气,66
股份,109
有限,89
公司,568
年度,80
报告,65
全文,56
流动,18
负债,211
合计,13
所有,49
权益,91
总计,2
合并,213
利润,35
单位,46
项目,81
投资,258
收益,122
损失,142
其中,13
联营,11
企业,98
合营,17
公允,142
价值,206
变动,70
填列,16
信用,86
减值,150
资产,649
处置,47
营业,9
亏损,11
总额,10
持续,10
经营,73
其他,195
综合,65
税后,1
净额,23
金额,122
归属,15
每股,3
本期,16
发生,130
同一,34
控制,123
实现,11
上期,3
法定,5
代表,3
会计,168
机构,2
负责,1
终止,14
确认,185
活动,41
现金,176
流入,8
小计,10
支付,74
职工,31
以及,43
流出,6
产生,44
流量,119
固定,36
无形,77
长期,71
收回,41
购建,15
取得,137
筹资,8
吸收,1
少数,3
股东,18
收到,7
分配,37
股利,6
偿付,3
利息,33
汇率,31
等价,9
影响,29
增加,25
期末,20
余额,24
工具,117
上年,5
本年,4
期初,15
增减,4
减少,8
资本,109
投入,14
普通,4
持有,27
提取,8
盈余,12
一般,20
准备,50
专项,2
储备,5
使用,119
政策,38
变更,29
优先,10
永续,5
股本,22
公积,30
转增,4
基本,8
情况,28
概况,1
注册,13
组织,1
形式,1
总部,1
地址,1
以下,10
简称,6
整体,1
方式,11
设立,1
中国,5
证券,9
监督,5
管理,21
委员,5
证监,4
许可,4
文件,9
批准,7
社会,3
公开,2
发行,29
人民,8
深圳,1
交易,77
挂牌,1
根据,45
大会,8
决议,8
截止,3
基数,3
全体,3
临时,4
审议,1
通过,19
核准,4
员工,3
持股,6
计划,22
关于,5
实业,3
集团,4
购买,101
募集,3
配套,3
资金,20
批复,2
兴福,2
更名,1
股权,87
同时,47
华夏,1
基金,3
珠海,1
合伙,2
增资,1
董事,3
会议,2
关联,6
业绩,3
承诺,17
补偿,10
实施,9
方案,1
议案,1
修改,12
章程,1
规定,42
总价,1
价格,16
回购,2
本次,2
十六,1
及第,1
同意,3
特定,7
对象,5
面值,3
统一,9
代码,1
XY,1
住所,1
山东,1
崂山,1
先生,1
直接,19
实际,44
范围,23
期限,12
属于,12
配电,2
设备,9
制造,2
行业,5
研发,1
设计,10
kV,1
一二,1
产品,14
提供,29
相关,155
技术,19
服务,36
施工,4
电力,7
工程,26
建筑,2
机电,1
安装,8
设施,1
运维,1
检修,1
试验,2
销售,22
租赁,271
特种,1
车辆,1
组装,1
拼装,1
能源,9
融资,38
业务,11
进出口,9
贸易,9
计算机,1
软件,2
开发,21
咨询,3
智能,2
电子,5
信息,22
嵌入,1
各类,1
建设,4
依法,1
部门,1
方可,36
开展,1
财务,74
报表,64
及其,5
变化,10
纳入,5
主要,11
详见,4
附注,7
主体,10
编制,12
基础,23
事项,9
按照,142
财政,9
颁布,2
准则,44
具体,7
其后,1
应用,2
指南,1
解释,2
披露,3
编报,5
规则,1
修订,7
基于,3
重要,6
估计,33
进行,170
存在,76
能力,10
重大,38
疑虑,2
提示,1
生产,20
特点,3
确定,158
体现,2
应收,93
款项,24
坏账,11
计提,59
方法,70
存货,25
计价,5
折旧,19
摊销,37
收入,45
时点,20
遵循,1
声明,1
符合,20
要求,30
真实,1
完整,1
反映,4
状况,12
成果,5
期间,82
采用,86
公历,2
周期,6
正常,10
用于,12
加工,2
作为,76
划分,20
标准,13
处理,65
以上,12
单独,23
形成,26
参与,17
前后,6
相同,18
多方,6
最终,12
并非,2
暂时,14
转让,35
承担,14
债务,25
对价,29
账面,54
份额,54
初始,56
成本,205
如果,12
以前,5
包含,11
商誉,26
之间,19
差额,44
应当,28
调整,45
溢价,29
不足,9
依次,7
审计,2
法律,5
评估,23
中介,2
费用,64
计入,125
当期,120
损益,108
多次,2
分步,5
一揽子,5
各项,23
比例,18
计算,57
享有,16
该项,5
加上,2
进一步,3
留存,4
达到,13
之前,14
方向,4
处于,1
有关,20
分别,14
比较,5
各方,15
日期,4
对于,50
付出,2
辨认,56
计量,151
小于,35
首先,18
复核,43
新增,2
涉及,2
与其,2
转为,14
所属,1
不能,12
分类,17
除外,5
日新,1
购入,1
应予,1
全部,15
包括,37
分割,1
部分,56
结构,1
母子,8
一致,16
必要,6
抵销,6
相互,2
内部,7
视为,4
企业集团,1
库存,4
视同,1
开始,40
实时,1
已经,25
丧失,23
出售,26
所得,20
价款,10
层面,1
对应,5
或者,51
失去,3
共同,30
剩余,18
金融,175
能够,50
原有,12
重新,27
一并,1
转入,5
安排,14
利益,14
下列,30
全额,4
权利,27
核算,32
可以,5
随时,1
存款,4
到期,9
易于,1
转换,2
已知,1
风险,52
外币,30
折算,36
即期,28
折合,1
本位,12
入账,4
货币,20
不同,11
汇兑,16
条件,38
专门,15
借款,61
予以,12
历史,11
改变,8
记账,11
控股,5
对其,7
系统,2
合理,25
境外,22
成为,18
合同,151
模式,11
特征,15
此类,17
收取,10
目标,3
借贷,1
本金,3
利率,41
后续,13
利得,25
票据,18
收账,1
债权,21
此外,3
指定,9
上述,9
之外,10
没有,3
一经,13
作出,3
不得,2
撤销,2
其余,2
转移,2
继续,1
担保,8
估值,14
当前,14
适用,17
并且,9
足够,13
利用,7
数据,6
支持,12
选择,30
市场,15
考虑,15
输入,12
可能,40
观察,13
贷款,6
预期,65
过去,8
未来,95
经济,26
预测,5
依据,30
违约,12
权重,2
现值,80
概率,4
加权,10
性质,7
对手,3
敞口,10
各种,5
类型,5
整个,18
存续,19
具有,32
短期,15
履行,14
义务,49
即便,1
时期,1
形势,1
环境,3
不利,1
未必,1
一定,3
降低,1
显著,2
预计,76
相对,6
是否,39
证据,22
困难,7
每个,9
由此,2
转回,19
核销,1
不再,12
这种,2
构成,2
商品,81
劳务,19
日常,10
