词语,频数
国民,74
技术,77
公司,274
实体,1
业务,10
活动,33
财务,28
信息,13
获取,1
充分,1
适当,1
审计,2
证据,5
以对,1
报表,27
发表,1
意见,1
股份,78
有限,84
年度,78
报告,69
全文,64
中国,3
注册,5
会计,62
特殊,4
普通,3
合伙,3
合并,20
资产,280
负债,130
编制,8
单位,16
项目,39
公允,82
价值,115
计量,93
变动,74
计入,81
当期,61
损益,75
金融,152
流动,18
合计,13
总计,4
所有,60
权益,63
归属,8
法定,12
代表,11
主管,10
工作,11
负责,20
机构,12
永德,10
利润,22
提取,2
保险,15
责任,4
合同,25
净额,19
投资,87
收益,64
损失,63
填列,25
其中,14
联营,7
企业,54
和合,2
成本,79
终止,10
确认,96
敞口,3
套期,4
信用,53
减值,32
处置,14
营业,7
亏损,11
总额,17
持续,6
经营,27
其他,115
综合,39
税后,4
不能,8
分类,27
重新,5
设定,8
受益,5
计划,17
工具,71
自身,3
风险,25
债权,5
出售,10
金额,64
持有,27
到期,11
准备,56
外币,17
折算,15
差额,10
少数,7
股东,14
每股,4
现金,99
流量,31
销售,11
商品,20
提供,51
劳务,81
收到,16
客户,11
存款,2
同业,2
存放,3
款项,16
增加,14
资金,6
保费,1
取得,29
保户,1
储金,1
收取,10
利息,19
手续,2
佣金,2
代理,3
买卖,1
证券,4
有关,20
流入,9
小计,13
购买,17
接受,6
支付,35
中央,1
银行,10
赔付,1
职工,34
以及,22
流出,6
产生,22
固定,27
无形,14
长期,29
收回,18
购建,7
筹资,11
吸收,1
分配,10
股利,4
偿付,4
汇率,7
等价,10
影响,18
期初,5
余额,20
期末,17
本期,12
一般,11
库存,6
上年,6
变更,6
本年,2
增减,4
减少,10
盈余,3
公积,30
转增,10
资本,59
使用,30
上期,2
专项,1
优先,21
永续,19
储备,1
投入,9
股本,3
内部,20
结转,16
附注,10
基本,4
情况,15
以下,12
简称,4
深圳,21
中兴,1
集成,3
电路,2
设计,4
基准,2
整体,2
设立,1
工商,1
行政,1
管理,16
登记,1
交易,63
上市,1
股票,1
代码,2
统一,1
社会,1
执照,1
总数,1
地址,1
南山,1
西丽,1
街道,1
坪山,1
社区,1
大厦,1
分别,10
属于,9
行业,2
电池,2
材料,8
制造,1
主要,17
产品,11
服务,8
安全,2
芯片,4
离子,1
负极,3
纳入,1
范围,3
详见,5
主体,3
业经,1
董事,2
批准,1
对外,2
基础,23
假设,1
根据,25
实际,21
发生,69
事项,3
按照,49
财政,11
以后,3
颁布,1
准则,39
各项,3
具体,4
应用,1
指南,1
解释,2
相关,46
规定,9
合称,1
监督,1
委员,5
公开,1
发行,4
披露,4
编报,1
规则,1
部分,15
采用,40
模式,11
进行,37
后续,13
地产,30
历史,5
待售,8
减去,5
预计,30
费用,27
符合,15
条件,21
账面,39
两者,9
计价,10
至少,1
具备,1
能力,2
重大,10
政策,10
估计,23
遵循,1
声明,1
要求,4
真实,1
完整,1
反映,7
状况,6
成果,2
记账,7
本位,7
人民,4
外子,1
经济,9
环境,1
货币,17
港币,1
当地,1
为其,1
控制,13
通过,7
多次,2
分步,1
实现,4
同一,1
关于,10
印发,5
通知,8
财会,6
五十一,1
一揽子,4
判断,7
标准,7
参见,1
是否,9
参考,5
前面,1
描述,1
股权,17
处理,18
之前,9
涉及,5
与其,2
应当,2
直接,7
相同,11
除了,1
核算,6
导致,3
相应,7
份额,1
以外,1
其余,1
转为,1
所属,1
方法,19
确定,29
原则,7
予以,6
往来,1
抵销,4
其后,1
剩余,2
丧失,2
原因,1
原有,1
前段,1
适用,7
合营,6
包括,23
可以,7
随时,1
用于,7
期限,5
易于,1
转换,2
已知,1
初始,18
即期,4
兑换,2
对于,26
借款,18
借入,1
专门,4
汇兑,2
期间,10
境外,3
成为,3
类别,9
取决,3
满足,11
下列,15
表明,7
目的,2
承担,8
为了,1
近期,2
回购,1
集中,1
辨认,1
组合,49
客观,3
存在,10
短期,8
获利,1
衍生,3
担保,1
定义,3
指定,19
有效,5
除外,2
债务,17
角度,2
分析,7
特征,12
测试,2
能够,54
此类,14
目标,3
借贷,2
安排,2
一致,3
特定,2
日期,3
本金,6
