词语,频数
股权,162
投资,106
形成,4
收益,4
公允,27
价值,32
变动,159
损益,1
计提,3
存货,2
跌价,1
准备,6
长期,14
减值,5
合同,56
资产,226
其他,462
流动,12
营业,5
收入,11
主要,41
员工,153
罚款,6
毁损,2
支出,5
损失,11
滞纳,1
应收,4
账款,3
信用,4
坏账,5
软件,28
增值,1
退税,1
补助,3
联众,190
信息,145
技术,124
股份,396
有限,264
公司,1680
年度,155
报告,824
全文,56
负债,29
状况,174
分析,50
构成,8
重大,158
情况,768
首次,6
执行,26
准则,20
租赁,31
调整,76
当年,3
年初,41
财务,23
报表,62
相关,163
项目,23
适用,1724
单位,87
年末,5
比重,70
增减,118
金额,177
货币,6
资金,109
减少,5
本年,2
货款,3
收账,1
回款,1
增长,2
所致,2
地产,6
固定,2
保证,41
短期,3
借款,11
新增,2
质押,45
同时,7
分类,1
到期,11
计量,26
账面,2
人民,86
受限,1
原因,37
说明,253
债权,4
期限,15
以上,28
不可,5
提前,4
支取,4
定期,4
存款,4
合计,31
截止,5
使用,12
受到,3
限制,2
如下,7
款项,2
内容,28
保函,1
银行,61
承兑,2
汇票,2
根据,15
保监会,2
要求,21
缴存,2
经营,120
预收,2
中国,43
莆田,2
分行,29
漳州,2
冻结,27
社保,6
福州,3
花园,2
支行,11
中行,2
南安,2
协办,2
客户,15
质保,2
开通,2
高速,2
无需,3
停车,2
缴费,2
服务,73
持有,85
人寿,3
保险,8
提供,66
担保,350
上海,26
管理,238
取得,10
额度,100
日本,2
余额,6
位于,3
厦门,79
思明,3
房产,2
净值,2
作为,7
抵押,7
兴业,9
借入,2
总体,46
幅度,1
获取,1
募集,11
出售,34
是否,304
计划,141
本期,174
涉及,12
交易,213
贡献,4
对方,4
披露,153
上市,145
定价,6
关联,255
采取,6
措施,65
本次,30
转让,51
融资,22
发展,80
巨潮,37
层面,4
资讯,38
考虑,2
http,3
优化,8
www,17
cn,19
info,2
co,2
双方,2
存在,73
进出,1
友好,1
实施,123
最终,1
风险,23
确定,5
有利于,4
关中,1
资源,14
进一步,16
全资,18
聚焦,2
日经,1
更为,1
审计,173
紧密,1
全部,11
长远,1
股东,678
利益,11
截至,17
有效,11
降低,8
业务,64
北京,21
业绩,6
资本,74
现金,175
利于,1
科技,73
控股,395
企业,55
各方,2
价格,5
质量,4
持续,16
公营,1
参股,24
利润,129
影响,21
名称,265
广州,10
应用,31
系统,38
福建,14
开发,23
电子,12
智能,22
广西,1
研发,14
集成,2
健康,49
医疗,74
经纪,2
数据,23
民生,41
医卫,1
长青,1
教育,3
易达,1
域内,1
通达,1
陕西,1
安徽,4
山西,4
惠民,1
处置,1
整体,3
生产,11
设立,9
吉林,1
控制,217
结构,6
主体,11
未来,10
展望,8
行业,31
格局,4
趋势,11
政策,92
政府,16
始终,4
坚持,9
中心,3
思想,1
不断,12
保障,50
改善,4
增进,1
福祉,1
日益,2
广阔,2
空间,2
工作,56
多次,1
强调,3
加强,23
财政,5
领域,7
倾斜,1
再次,3
加大,7
基本,11
养老,7
力度,6
深化,11
互联,34
政务,5
推进,23
卫生,16
体系,32
建设,33
十九,5
提出,18
社会,72
按照,14
底线,1
机制,12
全面,6
建成,2
覆盖,1
全民,3
城乡,2
统筹,1
权责,1
清晰,2
适度,1
层次,5
国民,1
经济,19
十四,48
规划,11
远景,1
目标,6
纲要,2
篇幅,1
积极,16
应对,1
人口,1
老龄,2
国家,45
战略,17
健全,8
公共,9
制度,22
就业,5
优先,8
明确,5
十四五,1
期间,13
实现,13
更加,3
参保,2
提高,16
完善,16
人均,2
预期,1
寿命,1
量化,3
医改,8
随着,8
建立,18
加快,9
成为,6
医保,30
医药,6
体制,6
改革,15
阶段,3
重要,5
任务,1
十三,130
全国,8
人大,1
会议,43
表决,16
通过,91
关于,136
国务院,9
机构,15
方案,7
其中,8
联动,2
组建,3
既是,1
三明,6
试点,3
经验,8
肯定,2
总结,2
提升,16
推广,6
领导,1
小组,2
发布,15
通知,15
近年,2
实践,1
充分,136
发挥,7
典型,1
全局,1
示范,2
突破,2
带动,1
作用,6
推动,8
纵深,2
全省,1
承建,2
平台,13
核心,21
凭证,3
运营,15
参与,10
标准,178
