词语,频数
公司,772
出售,209
资产,3897
发生,472
实现,76
内部,59
交易,146
损益,613
全额,4
抵销,27
归属,79
所有,214
利润,122
按照,511
分配,134
比例,144
少数,20
股东,23
之间,306
报告,142
内因,5
同一,147
控制,256
企业,511
合并,388
增加,50
以及,202
业务,63
编制,25
报表,86
调整,256
负债,1310
期初,348
当期,579
期末,298
收入,162
费用,600
纳入,25
现金,280
流量,46
同时,213
比较,103
相关,998
项目,456
进行,599
视同,9
主体,16
最终,58
开始,84
时点,17
一直,5
存在,135
其他,652
方式,157
购买,268
处置,291
拥有,10
股权,452
财务,111
取得,433
长期,433
投资,1480
新增,28
持股,6
计算,314
享有,111
持续,26
份额,102
差额,403
资本,647
公积,44
溢价,94
股本,37
不足,20
留存,21
收益,373
通过,104
多次,14
分步,14
属于,21
一揽子,10
北京,100
东方,50
国信,52
科技,73
股份,92
有限,132
年度,115
全文,46
之前,9
持有,274
处于,1
确认,1471
有关,94
综合,188
权益,367
变动,205
分别,131
期间,264
对于,171
公允,883
价值,1817
重新,130
计量,460
与其,24
账面,732
计入,680
由于,14
设定,138
计划,241
产生,71
除外,10
丧失,31
情况,91
部分,710
价款,240
对应,19
直至,69
如果,45
各项,12
作为,228
会计,255
处理,124
根据,197
合营,28
安排,12
分类,32
共同,61
经营,194
方法,105
适用,270
等价,4
确定,754
标准,4
库存,39
可以,20
随时,1
用于,48
支付,273
存款,2
期限,98
一般,162
到期,53
流动,21
易于,3
转换,3
已知,3
金额,801
风险,118
外币,60
折算,111
采用,371
即期,78
汇率,83
折合,4
人民,18
记账,4
货币,248
余额,431
由此,14
汇兑,24
购建,293
符合,202
条件,497
专门,13
借款,486
原则,65
平均,89
上述,126
单独,64
境外,16
下列,65
转入,31
金融,1450
工具,76
包括,271
成为,2
合同,368
管理,37
承担,173
目的,45
划分,3
直接,187
指定,2
应收,264
款项,154
依据,118
扣除,17
宣告,16
尚未,48
发放,16
股利,66
付息,16
领取,16
债券,28
利息,164
初始,441
入账,136
成本,893
实际,116
利率,160
预期,97
存续,30
短期,53
保持,30
不变,30
对外,42
销售,487
商品,97
提供,99
劳务,130
形成,27
债权,53
活跃,23
市场,60
报价,5
债务,139
账款,95
票据,318
预付,11
购货,3
协议,92
具有,218
融资,96
性质,97
现值,122
收回,249
单位,334
重大,157
影响,189
并且,13
没有,7
不能,27
可靠,236
后续,42
累计,51
转出,103
转移,346
几乎,37
报酬,41
终止,630
保留,37
判断,106
是否,84
满足,257
实质,313
重于,53
形式,54
区分,44
整体,138
收到,78
对价,213
涉及,37
情形,47
各自,16
相对,18
分摊,180
继续,196
现时,29
义务,88
全部,128
已经,43
解除,5
签定,51
替换,51
现存,245
条款,149
不同,148
作出,59
修改,116
回购,14
参考,2
减值,348
除以,2
检查,2
客观,9
证据,53
表明,56
计提,371
准备,355
较大,1
幅度,1
下降,5
考虑,52
各种,1
因素,50
这种,11
趋势,1
暂时,31
认定,22
损失,159
一并,3
事项,43
预计,89
未来,115
减少,57
能够,234
严重,3
困难,8
违反,1
偿付,1
本金,1
违约,1
逾期,3
出于,1
经济,189
法律,3
方面,2
做出,9
让步,1
可能,118
倒闭,6
重组,126
发行,138
无法,73
技术,110
环境,1
不利,1
变化,1
下跌,4
随后,5
上升,5
予以,106
转回,81
不得,2
比照,2
单项,49
坏账,177
测试,148
低于,62
大于,48
信用,102
特征,45
组合,693
名称,65
以上,29
理由,12
存货,721
需要,147
遵守,13
特殊,8
行业,13
披露,21
要求,45
材料,151
发出,3
计价,13
采购,11
加工,75
先进,2
变现,199
净值,199
跌价,163
全面,2
清查,2
提取,6
成品,84
正常,139
生产,595
过程,108
估计,445
售价,88
减去,100
税费,168
经过,112
完工,253
将要,63
执行,59
或者,966
价格,116
基础,358
数量,172
多于,55
订购,55
超出,56
单个,42
繁多,51
单价,51
类别,53
地区,46
产品,115
系列,43
相同,80
类似,47
用途,98
难以,83
分开,43
以前,42
消失,21
恢复,24
盘存,4
制度,1
永续,4
低值,5
包装,9
摊销,175
转销,12
待售,16
及其,4
分为,2
三类,1
实施,30
对其,2
详见,1
附注,1
决策,59
参与,33
权力,35
一起,26
这些,87
政策,100
制定,33
通常,2
以下,4
董事,9
机构,5
代表,7
相应,107
达到,197
施加,28
为其,3
自身,11
利益,188
提出,3
建议,4
意见,3
从而,7
重要,60
日常,10
进而,4
一定,7
程度,4
派出,1
人员,17
主导,4
活动,212
关键,12
资料,7
依赖,4
限于,10
多种,4
事实,4
联营,27
权利,6
转让,3
证券,129
面值,9
总额,80
付出,9
该项,143
约定,10
审计,1
服务,73
评估,6
咨询,1
中介,1
交换,143
具备,48
商业,135
前提,93
除非,55
确凿,48
更加,48
核算,71
追加,16
辨认,72
小于,22
分担,25
以外,7
一致,4
亏损,22
构成,15
为限,10
负有,3
额外,3
以后,21
分享,6
弥补,3
准则,54
规定,60
原因,21
加上,5
剩余,21
个别,4
地产,58
固定,222
出租,4
使用,515
寿命,194
超过,71
有形,4
房屋,1
建筑,1
电子,2
设备,28
运输,3
办公,22
流入,65
折旧,118
年限,12
残值,3
组成,23
选择,26
在建,19
工程,39
立项,1
建造,14
预定,183
状态,192
支出,148
办理,14
竣工,10
决算,10
预算,8
造价,5
原来,5
折价,39
辅助,4
相当,49
时间,132
必要,63
停止,87
暂停,8
在内,6
必须,39
等到,39
中断,123
连续,1
如是,62
程序,62
借入,1
动用,1
资金,36
存入,2
银行,390
占用,8
加权,87
乘以,4
应予,4
每期,18
生物,6
油气,4
无形,575
外购,39
延期,52
用以,61
抵债,56
吸收,46
自行,19
开发,147
耗用,18
注册,19
专利,18
特许,18
分析,4
带来,78
直线,33
预见,51
视为,47
不予,48
复核,69
本年,20
未有,19
截至,5
研究,171
阶段,235
具体,6
获取,43
理解,41
科学,47
知识,89
独创,41
调查,41
成果,48
应用,48
设计,48
出新,48
改进,48
装置,48
完成,26
可行,38
意图,16
证明,18
运用,9
有用,8
上列,23
每个,86
模式,6
迹象,43
净额,32
两者,10
较高,9
回收,7
所属,6
系统,4
商誉,348
每年,2
关于,17
合理,9
包含,137
应由,1
本期,91
负担,1
改良,1
受益,118
分期,2
职工,86
薪酬,34
离职,4
福利,62
提存,20
缴存,22
不会,9
结束,33
十二,33
币种,12
匹配,12
国债,12
质量,15
折现,61
应付,50
赤字,6
盈余,16
上限,10
其中,11
退款,5
获得,17
允许,5
范围,4
辞退,32
早日,7
过去,18
结算,167
利得,13
撤回,1
劳动,1
关系,24
裁减,1
完全,21
诉讼,1
担保,11
交付,1
履行,31
流出,39
随着,8
推移,8
还原,8
导致,11
适当,9
反映,19
当前,7
避免,2
详细,2
正式,2
公告,2
前述,17
只有,9
承诺,9
签订,13
约束,8
保证,27
维修,34
改造,2
客户,11
售后,1
近期,20
经验,50
数据,25
将来,12
需求,2
历史,8
能力,3
这项,2
任何,2
种类,2
为了,1
授予,39
股票,6
期权,13
换取,1
等待,34
业绩,16
以对,9
增值,9
之外,2
定价,4
模型,4
人数,1
信息,13
修正,1
有利于,4
缩短,4
变更,93
取消,19
不利于,4
如同,4
从未,4
加速,4
行权,4
立即,4
优先,1
主要,13
联系,2
售出,2
有效,8
收取,3
递延,106
结果,18
百分比,80
进度,23
工作,23
测量,17
得到,10
补偿,12
结转,10
让渡,4
他人,6
如下,2
定制,7
软件,17
较小,1
简单,1
验收,1
货款,48
收款,4
分属,1
复杂,1
前期,2
总量,2
委托,4
认可,4
硬件,6
安装,2
集成,5
来说,1
调试,1
特定,1
研发,2
才能,1
做法,1
政府,67
补助,67
退回,2
所得,179
某些,1
计税,3
税法,10
差异,33
抵扣,35
用来,10
纳税,31
此外,3
不是,1
税款,8
而且,3
清偿,13
税率,28
其余,4
足够,6
法定,5
税收,6
征管,3
部门,3
征收,11
或是,3
租赁,5
奖励,3
收购,2
记入,1
注销,12
关联,167
个人,22
仅仅,4
国家,14
密切,18
家庭,18
成员,18
证监,1
颁布,2
上市,8
办法,2
行动,1
间接,5
监事,3
担任,2
高级,2
控股,2
备注,1
财政,27
修订,38
施行,36
三十七,1
会议,3
营业,11
之上,1
无关,1
印发,4
格式,4
通知,6
财会,2
四十三,2
上年,1
发布,8
内在,1
准确,1
假设,20
基于,3
定期,38
缴纳,2
税务,20
各个,2
税前,2
列支,2
主管,2
机关,2
审批,2
最初,2
取决,2
盈利,1
偏离,1
因而,3
状况,3
决定,25
数额,24
同类,23
以往,25
结合,23
更新,23
此类,2
相似,2
功能,2
基准,2
报废,2
落后,2
冲销,2
因此,2
现有,2
显示,2
产量,4
支持,2
预测,4
倘若,2
不符,2
记录,1
目前,1
日前,1
衡量,1
原先,1
改变,1
高于,1
陈旧,1
滞销,1
产出,3
单元,3
贴现,3
过往,1
发展,8
货物,1
修理,1
修配,1
动产,1
销项,1
税额,2
进项,1
应交,1
城市,6
维护,1
建设,1
消费,2
说明,88
东华,3
信通,2
科瑞,3
北科,4
上海,7
炎黄,3
新星,3
网络,3
安徽,2
智能,6
运营,2
华夏,3
优惠,3
朝阳,1
地方,7
备案,1
规划,2
布局,2
重点,2
财税,3
总局,2
进一步,2
鼓励,2
产业,4
电路,2
当年,7
享受,1
免税,1
委员,6
联合,7
下发,6
高新,13
证书,15
编号,11
GR,6
发证,6
日期,6
中华,12
共和,12
条例,6
合格,6
小型,3
微利,3
国务院,1
若干,1
国发,1
研制,1
税负,1
实行,1
注释,19
合计,31
限制,1
明细,2
承兑,421
汇票,110
申请,1
开具,1
保函,1
衍生,2
质押,1
背书,1
出票,1
履约,1
核销,5
欠款,2
归集,3
联通,2
黑龙江,1
以内,17
内蒙古,3
包钢,1
中国,3
通信,3
长安,1
责任,6
及时,4
序号,2
手续,4
金桥,1
智源,1
石家庄,1
万达,1
对象,1
农资,1
种业,2
常德,1
甘肃,1
捷通,1
理财,3
押金,13
备用,1
往来,1
杭州,1
阿启,1
有待,1
深圳,5
指引,4
从事,4
种植,1
创业,3
广播,1
电影,1
电视,1
互联,4
游戏,2
含有,1
红利,1
新余,2
合伙,4
江苏,1
共建,1
智慧,1
增减,1
颐养,1
养老,1
农业,1
小计,1
办妥,3
产权,3
闲置,1
装修,3
投入,3
物资,1
清理,1
土地,1
平台,6
分布式,2
大数,1
中心,2
工业,1
地理,1
位置,1
引擎,1
运行,1
调度,1
存储,1
挖掘,1
原值,1
普泽,2
创智,2
CotopaxiLimited,2
泸州,1
防盗,1
亦庄,1
未经,2
激励,1
酒仙桥,1
支行,4
民生,1
昌平,1
为公,2
借贷,1
ZX,1
授信,3
兴业,2
鲁谷,2
BJZJ,1
金属,1
租借,3
内容,1
黄金,1
千克,1
市值,1
偿还,3
威特,1
空间,1
预收,12
西藏,1
解放,1
部队,1
天津,1
工资,1
奖金,1
津贴,1
补贴,1
社会,1
保险,1
