词语,频数
在建,197
工程,192
成本,469
实际,222
支出,359
确定,491
包括,74
期间,291
发生,919
各项,69
以及,150
其他,1318
相关,719
费用,681
达到,123
预定,58
使用,740
状态,127
结转,38
固定,246
资产,3291
减值,2780
测试,208
方法,55
准备,5533
计提,2366
详见,6
附注,8
长期,150
借款,297
利息,57
折价,3
溢价,3
摊销,186
辅助,3
外币,59
汇兑,59
差额,164
直接,331
归属,45
符合,113
资本,537
技术,90
股份,142
有限,99
公司,302
年度,98
报告,103
全文,31
条件,180
购建,64
或者,129
生产,89
已经,62
销售,206
必要,3
活动,98
开始,58
构建,20
停止,25
其余,58
当期,799
确认,1166
专门,92
减去,162
尚未,57
动用,19
资金,91
存入,19
银行,23
取得,228
收入,225
进行,508
暂时,174
投资,384
收益,410
金额,3962
予以,181
一般,251
根据,188
累计,198
超过,115
部分,195
加权,65
平均,70
乘以,37
占用,37
利率,97
计算,232
全部,131
计入,764
损益,662
需要,99
经过,21
相当,22
时间,75
地产,71
存货,349
如果,321
过程,82
正常,25
中断,38
并且,57
连续,19
暂停,19
直至,19
重新,74
生物,4
油气,2
无形,293
计价,1
寿命,206
集团,209
拥有,16
控制,40
没有,16
实物,3
形态,1
辨认,1
货币,190
初始,191
计量,579
有关,271
经济,76
利益,88
可能,239
流入,99
可靠,128
以外,75
项目,1412
土地,323
通常,26
作为,199
核算,39
自行,31
开发,103
建造,49
厂房,18
建筑,343
分别,57
外购,81
房屋,283
价款,26
之间,142
分配,55
难以,125
合理,74
处理,122
对其,59
原值,445
预计,440
采用,110
直线,38
分期,28
不予,119
其中,1366
知识,3
产权,40
如下,5
计算机,3
软件,26
著作,22
参考,23
带来,27
期限,49
期末,11051
复核,54
变更,442
会计,470
估计,580
此外,67
证据,69
表明,153
企业,464
预见,51
按照,643
政策,285
内部,46
研究,84
分为,47
阶段,883
同时,41
满足,54
下列,12
不能,60
下述,3
完成,38
能够,402
出售,18
具有,30
可行,78
意图,13
产生,265
方式,113
证明,10
运用,9
产品,13
存在,308
市场,90
自身,5
有用,5
足够,104
财务,93
资源,14
支持,12
能力,7
无法,75
区分,81
研发,47
对于,61
模式,10
合营,32
联营,32
股权,6
流动,38
金融,56
负债,640
判断,118
是否,72
迹象,113
收回,931
商誉,224
无论,21
每年,51
结果,145
低于,56
账面,8911
价值,4656
损失,1318
公允,538
处置,1103
净额,151
未来,703
现金,463
流量,215
现值,268
两者,92
较高,101
公平,46
交易,151
协议,98
价格,88
活跃,49
买方,24
出价,24
获取,25
信息,149
基础,185
法律,28
税费,28
搬运,28
持续,31
中和,28
最终,82
选择,76
恰当,33
折现,198
加以,28
单项,205
所属,89
独立,94
组合,247
报表,85
单独,66
分摊,100
预期,1056
合并,212
协同,22
效应,22
受益,41
包含,40
相应,193
比重,32
比例,358
上述,91
一经,29
以后,68
转回,933
得以,29
恢复,29
应由,2
负担,2
以上,311
主要,59
装修,3
合同,479
应收,1002
客户,131
对价,45
转让,40
商品,163
义务,148
之前,9
支付,171
收款,70
款项,739
到期,52
时点,12
职工,97
薪酬,42
短期,12
离职,11
福利,101
辞退,59
工资,6
奖金,1
津贴,1
补贴,1
医疗,1
保险,10
生育,1
工伤,1
住房,1
公积金,1
工会,1
经费,2
教育,42
为本,5
提供,77
服务,116
基本,22
养老,1
失业,1
计划,60
设定,27
提存,25
缴存,13
劳动,9
解除,7
关系,6
鼓励,3
自愿,3
接受,14
裁减,6
提出,3
