词语,频数
执行,8
销售,14
合同,18
持有,9
存货,4
价格,8
基础,10
计算,6
变现,2
净值,2
其他,160
一般,2
福建,66
青松,54
股份,113
有限,132
公司,402
年度,78
报告,94
全文,64
流动,24
资产,109
是否,11
收入,33
准则,7
期初,39
余额,48
抵扣,7
认证,2
进项,2
税额,3
理财,2
产品,47
抵销,3
净额,8
所得,23
预缴,1
合计,73
说明,56
固定,9
单位,102
项目,99
情况,44
房屋,3
建筑,4
账面,31
原值,2
本期,78
增加,62
金额,63
在建,13
工程,25
转入,9
外币,6
报表,4
折算,2
差额,2
处置,25
报废,18
累计,3
折旧,4
计提,40
企业,47
合并,17
减值,21
准备,26
价值,42
期末,26
合成,4
樟脑,4
扩建,2
生产,20
自动,2
改造,3
年产,4
香料,5
设备,32
仓库,2
配套,5
重要,16
变动,27
其中,21
利息,7
投入,8
资金,33
预算,1
楼顶,1
冷冻,1
机房,8
原因,8
相关,32
预计,4
产能,2
利用,9
评估,15
存在,15
经济,12
贬值,2
无形,13
摊销,10
通过,13
内部,3
研发,14
形成,7
比例,7
商誉,5
收购,6
诺斯,24
贝尔,24
化妆,15
长期,21
费用,32
铁路,1
专用,11
线路,1
租用,1
递延,15
负债,40
未经,2
交易,25
实现,13
利润,34
亏损,3
政府,11
补助,13
纳税,2
暂时,3
差异,5
同一,6
控制,17
增值,1
确认,5
明细,4
预付,1
款项,21
短期,8
借款,42
分类,8
到期,6
应付,36
中国,28
工商,9
银行,37
建阳,23
支行,18
签订,9
编号,9
人民,24
担保,23
方式,16
信用,70
截止,14
美元,7
年末,1
汇率,13
折合,1
南平,22
FJ,2
兴业,6
账款,20
预收,2
职工,6
薪酬,5
离职,1
福利,4
设定,2
提存,2
计划,3
辞退,1
社会,3
保险,6
住房,1
公积金,11
工会,1
经费,2
教育,3
失业,3
应交,1
税费,2
个人,2
城市,6
维护,1
建设,16
房产,3
土地,6
使用,14
印花,2
附加,3
环境,7
保护,3
股利,17
包括,17
超过,3
支付,22
披露,24
性质,6
预提,5
运费,1
杂费,1
保证,11
押金,1
水电,1
仓储,1
租金,2
佣金,1
劳务,1
分别,1
偿还,1
利率,16
周期,2
浮动,7
并购,1
贷款,1
季度,3
质押,2
为本,1
区间,1
收益,73
涉及,3
增补,1
营业,17
计入,9
成本,21
中山,7
科学,4
技术,21
重大,17
科技,15
