词语,频数
减值,23
测试,2
商誉,5
相关,53
资产,126
或者,4
组合,7
存在,8
迹象,1
首先,1
包含,1
进行,20
计算,5
收回,14
金额,22
确认,50
相应,1
损失,24
一经,15
以后,17
会计,39
期间,24
不再,17
转回,18
长期,27
费用,33
公司,275
已经,5
发生,40
应由,1
本期,39
负担,1
分摊,1
期限,8
以上,8
各项,1
实际,4
成本,7
计价,1
预计,5
受益,6
平均,1
摊销,7
职工,20
薪酬,13
短期,7
处理,17
方法,19
提供,21
服务,9
年度,57
报告,42
结束,1
十二,2
需要,4
全部,1
予以,3
支付,20
离职,8
福利,17
辞退,4
除外,2
江西,52
制动,53
股份,52
有限,117
全文,40
获得,25
退休,1
企业,37
解除,3
劳动,3
关系,2
各种,1
形式,1
报酬,2
计划,20
分类,15
设定,11
提存,5
合同,34
到期,11
之前,1
鼓励,5
自愿,1
接受,1
裁减,1
给予,1
补偿,2
当期,12
计入,20
损益,17
上述,3
情形,1
其他,82
负债,26
根据,12
使用,13
预期,2
累计,4
单位,89
产生,12
义务,5
归属,3
事项,6
同时,11
符合,16
以下,3
条件,9
承担,1
现时,1
履行,6
可能,10
导致,1
经济,6
利益,7
流出,1
账面,29
价值,57
复核,4
确凿,6
证据,6
表明,6
不能,6
真实,6
反映,6
当前,12
估计,17
按照,21
调整,13
种类,2
分为,1
权益,20
结算,25
现金,3
工具,13
公允,14
确定,17
对于,5
授予,7
活跃,8
市场,9
期权,11
报价,4
可行,9
依据,5
等待,3
每个,1
取得,15
人数,1
变动,11
后续,1
信息,6
作出,2
修正,1
数量,3
实施,5
修改,3
终止,3
计量,8
条款,3
情况,27
取消,2
作为,20
加速,1
行权,15
剩余,1
立即,1
资本,9
公积,8
收入,21
是否,10
遵守,7
特殊,4
行业,9
披露,14
要求,10
销售,18
商品,11
满足,5
下列,3
所有,7
主要,7
风险,4
转移,1
购货,1
保留,1
通常,1
联系,1
继续,1
管理,6
售出,1
有效,5
控制,6
能够,10
可靠,7
流入,3
具体,1
判断,2
标准,1
外销,1
出口,2
货物,3
指定,1
装运,1
装船,1
订单,2
报关,1
资料,3
验收,3
产品,9
发出,3
客户,4
合格,3
没有,1
明确,1
移交,2
约定,4
价格,4
劳务,9
交易,11
结果,1
完工,6
进度,3
采用,9
百分比,3
工作,3
测量,1
签订,15
协议,12
包括,6
部分,12
区分,2
单独,4
让渡,3
利息,11
他人,1
货币,8
资金,24
时间,2
利率,3
有关,2
收费,1
政府,58
补助,47
递延,37
收益,52
建造,6
购买,3
年限,3
合理,3
系统,12
分期,7
之外,2
划分,4
所得,57
与其,1
计税,3
基础,3
之间,3
差额,8
项目,78
税法,1
规定,4
可以,1
清偿,1
适用,12
税率,8
用来,3
抵扣,13
暂时,6
差异,7
纳税,9
为限,3
如果,3
未来,4
无法,3
足够,3
用以,3
合并,3
租赁,72
经营,5
承租,6
各个,2
直线,2
租金,3
初始,13
直接,15
出租,6
融资,26
开始,22
付款,13
现值,5
两者,5
入账,15
应付,31
收款,5
应收,29
记录,5
担保,19
重要,15
政策,22
组成,6
处置,22
划归,1
持有,8
待售,3
类别,1
代表,1
独立,2
业务,10
地区,4
关联,3
转售,1
备注,1
财政,10
发布,2
关于,5
印发,2
修订,6
准则,10
召开,1
董事,4
通知,3
财会,3
会议,4
监事,1
执行,4
通过,3
变更,2
