词语,频数
解锁,7
股权,75
激励,22
股份,177
安排,4
资产,273
锁定,19
承诺,3
按照,61
重组,3
公开,12
发行,251
公司,851
计划,6
其他,185
限售股,2
股东,770
高管,18
解禁,1
合计,18
证券,150
上市,200
情况,418
报告,240
优先,106
适用,181
股票,44
及其,33
衍生,29
价格,29
获准,28
交易,141
日期,139
数量,203
终止,34
名称,151
北京,104
东方,89
国信,90
科技,79
有限,154
年度,156
全文,51
转换,2
债券,4
分离,5
说明,15
对象,11
行权,15
期权,9
召开,38
董事,293
三十三,1
会议,30
监事,37
二十,1
大会,128
审议,6
通过,18
利润,55
分配,12
资本,203
公积金,6
转增,21
股本,61
预案,2
截至,4
基数,6
全体,11
实际,56
控制,193
持股,181
单位,62
披露,25
期末,45
表决,19
月末,2
普通,24
恢复,56
总数,186
参见,65
以上,34
持有,73
无限,113
质押,31
冻结,31
增减,40
变动,100
条件,157
连平,23
全国,3
社保,2
基金,15
零二,1
组合,2
BILL,2
MELINDA,2
GATES,2
境外,28
法人,33
FOUNDATION,2
TRUST,2
工商,6
银行,6
华融,2
国际,4
信托,5
盛世,2
权益,154
投资,212
集合,2
资金,21
不列颠,2
哥伦比亚,2
管理,119
自有,4
天安,3
财产,3
保险,3
瑞典,2
国家,23
招商,2
灵活,2
配置,2
LOF,2
战略,10
一般,19
配售,1
新股,7
成为,1
共同,8
签署,2
关于,7
一致,13
行动,8
协议,4
认定,10
上述,3
关联,12
关系,18
之间,12
未知,4
是否,55
存在,22
属于,34
收购,2
办法,2
规定,47
种类,77
人民,57
一零二,1
养老,3
混合,1
流通,2
参与,13
融资,7
融券,3
业务,31
进行,79
约定,3
购回,3
取得,112
地区,6
居留,19
先生,7
中国,37
本科,11
学历,14
毕业,15
西安,3
理工,4
大学,25
学士,7
学位,11
主要,24
创始,3
国营,6
七〇〇,3
设计,20
主管,7
销售,8
担任,12
执行,15
至今,12
经理,123
职业,8
职务,7
吉林,3
计算机,3
科学,8
技术,10
专业,23
有线,2
总厂,3
交换,7
系统,13
设备,4
支部,3
书记,3
主任,3
创办,3
常务,8
现任,146
工程,8
过去,21
控股,37
境内外,21
变更,55
产权,2
方框,1
副总,2
总工,1
志刚,3
时文,3
卫民,3
秘书,5
海青,3
财务,135
总监,10
离任,23
宝玉,10
高级,29
人员,49
原因,2
由于,5
个人,5
辞去,1
留在,1
任职,3
背景,1
工作,35
经历,1
以及,45
目前,5
职责,16
出生,13
国籍,13
金正,2
硕士,7
数学,1
研究,10
历任,7
开发,6
中心,10
规划,2
分布式,1
数据,8
研发,6
教授,8
博士,6
导师,3
钢铁,1
学院,7
工业,2
加拿大,1
McMaster,1
商学,1
访问,1
学者,1
院长,3
