词语,频数
常规,4
方式,15
买卖,4
金融,163
资产,424
交易,54
进行,74
会计,85
确认,205
终止,45
贷款,11
应收,75
款项,54
活跃,7
市场,19
没有,12
报价,7
回收,3
金额,113
固定,18
确定,45
衍生,26
采用,58
实际,36
利率,11
成本,132
后续,17
计量,106
发生,113
减值,97
摊销,61
产生,21
利得,16
损失,74
计入,162
当期,145
损益,120
出售,59
包括,47
初始,62
指定,13
以及,22
除了,4
公允,89
价值,162
变动,49
持有,74
到期,9
投资,151
以外,4
债务,13
工具,92
期末,35
按照,52
扣除,10
偿还,4
本金,2
加上,2
减去,9
之间,13
差额,29
形成,15
累计,24
外币,3
货币,11
相关,163
汇兑,4
其他,140
综合,22
收益,82
转出,6
期间,24
取得,58
利息,24
单位,95
宣告,3
发放,5
现金,26
股利,7
公司,258
每个,5
负债,141
账面,65
检查,2
客观,9
证据,6
表明,14
计提,58
准备,47
单项,44
重大,37
单独,24
测试,37
预计,38
未来,17
流量,15
现值,14
恢复,3
事项,7
有关,28
湖南,66
中科,52
电气,47
股份,79
有限,85
年度,56
报告,47
全文,44
予以,19
转回,15
超过,19
假定,3
情况,31
因素,6
判断,16
权益,90
下跌,4
严重,2
暂时,7
下降,1
收回,12
当前,1
余额,59
不能,11
可靠,34
挂钩,4
通过,11
交付,4
结算,28
不予,6
转移,31
依据,17
方法,48
满足,21
下列,4
条件,37
收取,1
合同,80
权利,8
整体,4
收到,13
对价,9
部分,72
相对,3
分摊,13
前述,5
追索,3
背书,4
转让,6
所有,25
几乎,3
风险,23
报酬,8
是否,25
已经,33
分类,19
划分,13
对于,28
费用,123
一致,5
支出,38
财务,28
担保,3
承诺,2
属于,4
低于,3
企业,49
准则,18
收入,37
原则,3
之中,1
较高,2
现时,2
义务,9
全部,8
解除,6
才能,4
支付,21
承担,7
嵌入,5
签署,1
套期,16
高度,4
有效,7
根据,22
关系,9
性质,9
要求,18
其余,6
包含,1
混合,2
经济,12
特征,15
方面,3
存在,23
紧密,1
相同,6
符合,10
定义,1
分拆,1
作为,47
处理,46
抵销,15
具有,34
法定,9
目前,2
执行,13
同时,21
计划,48
净额,17
变现,22
清偿,5
相互,2
证明,10
拥有,7
剩余,17
各种,3
分配,9
股票,2
减少,3
股东,13
坏账,29
人民,6
以上,2
标准,2
类似,16
信用,18
组合,13
不再,18
分析,5
合并,40
范围,3
关联,9
具备,1
以下,4
理由,3
对方,3
争议,1
涉及,6
诉讼,1
仲裁,1
已有,5
明显,5
迹象,6
可能,13
无法,11
履行,6
还款,5
存货,47
需要,24
遵守,13
特殊,11
行业,29
披露,18
主要,15
材料,12
产品,26
库存,5
商品,19
周转,2
发出,3
委托,2
加工,4
物资,3
计价,8
采购,2
领用,14
加权,1
平均,9
生产,12
计算,39
分批,1
耗用,1
成品,1
结转,9
销售,33
个别,3
认定,3
净值,20
跌价,5
日常,4
活动,7
估计,36
售价,8
完工,12
将要,3
税费,7
用于,23
直接,37
或者,14
劳务,43
价格,10
基础,18
数量,9
多于,3
订购,3
超出,12
一般,4
盘存,4
制度,2
永续,8
低值,1
包装,15
待售,42
商业,7
实质,5
交换,3
下同,1
持续,2
使用,74
流动,39
处置,76
类别,12
重新,1
高于,3
折旧,26
继续,12
移除,2
两者,9
调整,22
长期,66
股权,78
控制,49
共同,13
影响,19
核算,27
政策,59
详见,5
附注,16
约定,4
安排,4
共有,2
并且,6
必须,2
经过,2
分享,2
参与,2
同意,2
决策,2
同一,8
最终,4
报表,17
份额,6
一揽子,3
享有,6
达到,4
进一步,2
资本,23
公积,17
购买,15
付出,2
发行,23
证券,10
审计,1
法律,1
服务,17
评估,3
咨询,4
中介,1
管理,20
不同,4
分别,5
价款,12
协议,5
该项,3
自身,6
构成,1
经营,38
除外,1
追加,1
大于,3
辨认,5
首次,1
之前,8
联营,3
合营,3
借方,1
期限,2
直线,6
收购,2
少数,2
编制,9
新增,2
持股,1
比例,20
开始,9
不足,1
留存,1
丧失,23
对应,3
导致,8
情形,2
相应,25
能够,54
实施,5
施加,2
视同,2
多次,2
分步,2
直至,2
如果,17
上述,6
各项,4
一并,2
转入,10
地产,32
模式,7
赚取,1
租金,4
增值,9
兼有,1
此外,20
出租,13
空置,5
建筑,6
董事,8
机构,6
作出,9
书面,5
决议,5
明确,5
表示,5
意图,17
短期,15
变化,9
利益,10
流入,2
其成,1
本能,1
房屋,3
土地,12
自用,2
转换,6
入账,4
永久,1
退出,1
提供,32
寿命,21
有形,1
机器,1
设备,16
运输,6
电子,3
融资,26
租赁,107
合理,12
届满,6
在建,19
工程,26
预定,3
状态,2
借款,34
折价,1
溢价,1
辅助,1
归属,25
购建,2
必要,1
无形,75
实物,2
形态,2
通常,7
对其,2
原值,3
分期,4
复核,5
变更,10
内部,24
研究,15
开发,45
项目,80
分为,1
阶段,14
下述,2
完成,26
技术,31
可行,11
运用,5
有用,4
足够,10
资源,16
支持,8
能力,8
商誉,19
预期,7
协同,2
效应,2
受益,3
应由,1
以后,4
负担,1
职工,27
薪酬,10
工资,7
奖金,3
