词语,频数
金额,659
以上,94
应收,737
账款,321
账面,357
余额,1257
款项,38
单项,9
重大,52
计提,858
坏账,728
准备,1147
方法,271
单独,3
进行,257
减值,296
测试,45
根据,86
未来,60
现金,217
流量,17
现值,50
低于,22
价值,594
差额,213
信用,5
风险,27
特征,4
组合,431
名称,4
分析,221
采用,368
适用,789
杭州,37
华星,47
创业,38
通信,66
技术,252
股份,78
有限,71
公司,464
年度,42
报告,39
全文,35
比例,350
其他,1081
以内,797
百分比,62
理由,2
存在,117
显著,1
差异,292
存货,271
是否,48
需要,42
遵守,10
特殊,8
行业,11
披露,16
要求,13
分类,18
包括,50
日常,36
活动,87
持有,58
出售,175
成品,37
商品,12
生产,282
过程,81
提供,125
劳务,172
耗用,1
材料,200
物料,1
完成,43
发出,10
计价,7
月末,9
加权,36
平均,58
变现,131
净值,131
确定,375
依据,16
资产,1796
负债,259
成本,766
计量,310
按照,233
单个,8
高于,6
跌价,248
直接,111
用于,79
正常,78
经营,108
估计,214
售价,70
减去,110
销售,126
费用,493
相关,719
税费,73
经过,37
加工,36
完工,45
将要,36
发生,612
同一,85
部分,154
合同,104
价格,81
约定,60
分别,84
与其,105
对应,49
比较,40
转回,286
盘存,24
制度,17
永续,8
低值,2
包装,8
摊销,101
转销,10
长期,358
股权,341
投资,571
共同,49
控制,325
重要,11
影响,48
判断,23
安排,2
共有,1
并且,21
必须,1
分享,1
参与,21
一致,11
同意,1
才能,4
决策,21
认定,33
单位,699
财务,205
政策,81
权力,20
能够,168
或者,182
一起,39
这些,31
制定,21
企业,377
合并,468
形成,86
支付,104
转让,75
承担,10
债务,56
发行,96
权益,275
证券,79
作为,154
对价,94
取得,226
所有,31
最终,29
报表,151
份额,72
初始,209
面值,21
总额,21
之间,72
调整,148
资本,267
公积,54
通过,64
多次,47
交易,292
分步,47
实现,42
属于,116
一揽子,113
各项,47
会计,374
处理,181
享有,63
达到,82
加上,28
进一步,20
购买,202
公允,187
区分,29
个别,24
新增,10
核算,95
对于,77
之前,55
重新,118
计入,415
当期,644
收益,556
涉及,42
综合,138
转为,65
所属,35
由于,2
设定,277
受益,278
计划,289
产生,144
除外,1
以外,12
实际,198
价款,31
重组,57
方式,53
准则,51
货币,81
交换,41
后续,24
损益,607
确认,517
实施,37
联营,25
合营,25
处置,364
丧失,124
剩余,68
具有,41
不能,54
金融,110
工具,161
规定,70
开始,153
持续,41
计算,175
溢价,28
不足,9
留存,9
原子,17
持股,33
原有,52
同时,120
商誉,95
应当,21
地产,12
模式,8
