词语,频数
报告,97
审计,32
委员,8
定期,1
聘任,1
机构,17
内控,5
制度,16
关联,6
交易,73
事项,22
进行,192
审议,1
相关,221
建立,4
审核,1
薪酬,30
考核,12
按照,185
工作,13
规则,1
要求,19
认真,1
听取,1
公司,758
管理,79
年度,409
人力,1
资源,4
岗位,2
职责,1
绩效,6
进展,1
情况,39
汇报,1
同时,18
董事,14
监事,6
高级,11
人员,23
核查,1
提出,1
发展,2
意见,14
建议,2
切实,1
履行,28
专业,14
职能,1
监督,16
活动,507
发现,7
是否,23
存在,63
风险,212
异议,1
考评,1
激励,3
业绩,4
挂钩,1
约束,1
机制,2
实行,1
基本,11
年薪,2
年终,1
结合,6
根据,156
经营,302
目标,7
完成,19
以及,36
执行,4
结果,107
兑现,1
奖惩,1
需要,27
针对,21
部分,68
适时,1
推出,1
股权,106
计划,145
有效,3
调动,1
积极,2
实际,199
一致,19
认为,1
方案,1
严格,1
政策,180
内部,116
控制,148
评价,10
重大,64
缺陷,39
具体,29
财务,145
认定,15
标准,31
查实,1
截至,4
控股,3
股东,42
共计,1
占用,27
上市,6
及其,5
自有,15
资金,21
发生,388
期间,88
归还,6
期末,20
余额,29
截止,3
行为,3
整改,2
已经,35
收回,103
现金,790
北京,42
金科,1
创业,2
投资,1205
中心,3
有限,69
合伙,16
份额,54
价值,640
公告,1
尚有,2
尚未,25
其中,100
本金,53
利息,87
自我,1
全文,28
披露,15
日期,29
索引,1
巨潮,1
资讯,1
www,1
cninfo,1
com,1
cn,1
纳入,8
范围,44
单位,303
资产,1427
总额,72
合并,177
报表,107
比例,16
营业,303
收入,129
类别,2
确定,237
组合,44
可能,56
导致,13
企业,383
严重,4
偏离,2
定量,4
具备,12
以下,28
特征,3
定性,1
环境,4
无效,2
如下,3
出现,2
情形,3
通常,27
舞弊,3
违反,2
国家,1
法律,22
法规,1
遭受,3
主管,3
注册,10
会计,315
识别,1
当期,269
处罚,2
以上,14
对外,1
重要,31
决策,4
失误,2
核心,1
流失,2
影响,142
程度,8
经济,52
后果,1
低于,71
生产,97
业务,20
缺乏,1
系统,1
失效,1
具有,95
得到,2
公认,1
准则,38
证监,1
受到,1
应用,19
程序,7
公开,2
谴责,1
措施,1
对于,54
常规,1
特殊,14
账务,1
处理,56
没有,10
相应,24
一般,92
造成,3
实施,9
补偿,2
过程,37
