词语,频数
报告,148
公司,639
召开,15
股东,130
大会,28
会议,48
召集,3
程序,22
出席,9
人员,56
资格,4
表决,35
结果,5
决议,23
内容,10
符合,14
法律,19
法规,17
章程,8
规定,16
关于,60
控股,36
严格,9
规范,9
自身,5
行为,4
没有,7
直接,5
间接,4
干预,2
决策,14
经营,43
活动,9
情况,135
业务,26
资产,56
机构,19
财务,45
独立,52
完整,8
自主,6
能力,9
董事,208
监事,72
内部,48
运作,9
其中,13
人数,6
构成,7
要求,23
能够,7
依据,14
深圳,10
证券,51
交易,38
创业,10
上市,35
指引,3
议事,4
规则,6
规章,5
制度,22
开展,5
工作,23
勤勉,3
尽责,2
履行,22
职责,8
义务,2
同时,4
积极,12
参加,2
相关,55
培训,11
熟悉,1
职工,7
各位,2
按照,29
认真,4
自己,3
重大,46
事项,41
关联,20
状况,23
以及,18
高级,46
管理,135
合法,13
进行,32
监督,16
青岛,143
特锐,124
电气,84
股份,134
有限,232
年度,80
全文,60
绩效,5
评价,13
激励,9
约束,1
机制,8
建立,11
企业,20
体系,16
收入,2
业绩,4
挂钩,1
聘任,1
公开,5
透明,1
下设,5
薪酬,21
考核,9
委员,22
负责,14
津贴,4
标准,29
批准,3
信息,38
披露,37
透明度,2
办法,4
投资,110
关系,9
真实,5
准确,7
及时,3
公平,2
有关,13
指定,5
秘书,9
协调,4
回答,2
咨询,3
接待,2
来访,2
提供,25
资料,4
时报,1
中国,43
上海,9
巨潮,21
资讯,22
www,22
cninfo,20
com,22
cn,22
报纸,1
网站,3
确保,4
所有,7
平等,1
机会,2
获得,2
其他,55
方面,11
受到,2
证监,7
内控,3
存在,18
问题,13
处分,1
聘请,2
会计,40
事务,24
控制,58
有效,15
表示,1
异议,2
需要,6
整改,6
今后,1
继续,1
优化,2
完善,10
保障,5
健康,6
运行,3
相对,1
实际,56
保证,40
下属,1
单位,44
从事,5
相同,3
相近,1
具有,9
采购,3
生产,17
销售,4
场所,3
依法,2
做出,2
面向,1
市场,3
依赖,1
选举,1
任命,1
选聘,1
原则,5
担任,12
以外,1
职务,18
及其,18
领取,7
拥有,6
人事,2
劳动,2
系统,7
辅助,2
配套,2
设施,7
支配,1
办公,7
组织,4
架构,2
专门,2
干涉,2
健全,1
配备,1
专业,12
人才,14
档案,1
依照,1
共用,2
银行,5
账户,15
占用,4
资金,18
情形,7
临时,12
详见,26
公告,32
恢复,1
优先,3
请求,1
适用,143
差异,4
安排,7
实施,11
变化,6
持股,42
数量,31
特别,17
是否,43
持续,14
普通,35
合计,44
持有,33
参与,6
主体,1
名称,25
比例,16
范围,4
转换,3
原因,5
保护,25
权益,19
承诺,12
措施,3
锁定,22
转让,3
限制,3
滥用,1
或者,1
损害,1
专项,7
意见,7
基本,6
授予,2
本期,4
期初,2
期末,16
任职,20
任期,10
股票,22
姓名,7
股数,4
变动,14
动态,2
日期,13
现任,39
宋国,16
总裁,46
执行,41
大宗,1
东明,8
减持,2
永光,5
志刚,4
淑芳,2
美华,6
HELMUT,4
BRUN,1
集中,1
REBSTOCK,3
副总,2
总监,8
Yingtao,2
离任,9
解聘,1
先生,29
不幸,2
逝世,2
背景,1
主要,19
经历,1
目前,3
完成,7
换届,1
如下,2
成员,5
出生,18
国籍,19
永久,18
境外,44
居留,18
中共,8
党员,8
毕业,14
华北,1
电力,15
大学,27
博士,11
学位,4
清华,1
EMBA,1
工程,7
协会,4
会长,5
工商,9
主席,4
山东,21
人大,1
代表,9
河北,4
设备,8
厂长,2
技术,16
发展,41
经理,18
来电,40
能源,39
设计,4
阳光,2
科技,27
高压,12
广西,4
中电,2
新源,2
辽宁,5
电能,4
合伙,22
机电,1
学院,7
中专,2
学历,11
分厂,1
成都,9
西安,6
智能,2
充电,11
南京,1
研究,8
唐山,1
供销,1
石家庄,1
张家口,1
铁道,1
硕士,10
济南,3
铁路,1
电器,2
温暖,4
生态,8
山西,4
乐山,2
电网,2
自动,3
长春,5
赫普,14
储能,13
化学,5
清洗,2
中心,18
丹东,6
热力,9
威特,2
太阳,5
宁夏,2
种业,3
启迪,2
调兵山,3
工学,1
学士,1
主任,18
客户,10
九三,3
学社,3
社员,1
北京,5
光华,2
四川,5
省直,2
工委,2
主委,2
名优,1
