词语,频数
监事,29
成员,9
公司,607
目前,3
其中,13
职工,13
代表,5
任期,2
简历,2
如下,3
先生,6
中国,32
国籍,7
境外,7
永久,7
居留,7
出生,7
研究,33
学历,6
高级,32
政工,1
郑州,8
工作,28
先后,1
担任,15
团委,1
书记,5
干部,1
处长,1
组织,6
部长,2
党委,3
国资委,2
直属,1
河南,114
纺织,1
化纤,1
设备,25
安装,1
有限,188
工会,2
主席,3
至今,10
能源,135
股份,92
党群,2
总监,6
总支,1
宇通,1
客车,1
法务,2
本科,5
马士基,1
深圳,26
全球,2
信息,21
处理,24
中心,5
财务,120
安达,1
会计,137
事务,10
特殊,17
普通,7
合伙,7
项目,35
经理,13
大华,6
投资,112
管理,91
人员,43
中共,1
党员,1
年度,79
报告,130
全文,55
联合,2
利华,1
战略,12
规划,1
国泰,1
君安,1
创新,1
执行,12
董事,122
中金,1
集团,9
资本,118
运营,4
总裁,6
工程,21
平顶,6
矿务,2
生产,25
武汉,1
工学,1
电气,1
自动,1
专业,8
学习,2
综机,1
租赁,23
历任,1
平煤,10
胶管,2
制品,2
神马,6
天成,1
实业,1
常务,1
材料,18
兼任,1
天源,1
隆基,3
科技,49
经济,17
煤炭,2
施工,1
工业,2
委员,73
女士,1
硕士,1
江西,3
赛维,2
LDK,2
太阳,4
销售,26
美国,2
上市,20
阳光,1
动力,1
互联,1
简称,6
SPI,1
电子,3
商务,1
股东,119
单位,32
是否,37
任职,7
姓名,7
终止,10
日期,3
报酬,13
津贴,2
情况,77
说明,10
其他,103
适用,35
领取,8
科学,12
斯坦福,1
大学,1
终生,1
教授,1
湖北,1
得伟,1
律师,3
立信,1
现任,1
离任,2
证券,40
监管,4
机构,25
处罚,1
决策,15
程序,21
确定,70
依据,38
实际,41
支付,30
大会,48
决定,3
盈利,1
水平,14
分工,1
履行,24
高管,2
总额,10
获取,20
中学,1
秘书,2
德海,1
朱莉,2
志强,1
建华,1
合计,15
主要,11
在职,4
员工,11
数量,18
当期,54
